MeasurementDate	metric	metrictype	Agency	numerator	denominator
2015-01-14	TripsPerformed	Dollars	SE2	204.00	204.00
2015-08-11	TripsPerformed	Dollars	SK2	114.00	114.00
2014-10-14	TripsPerformed	Dollars	PVT	696.00	749.00
2015-02-20	TripsPerformed	Dollars	HE6	210.00	210.00
2015-01-22	TripsPerformed	Dollars	MID	141.53	141.53
2015-04-21	TripsPerformed	Dollars	MRC	0.00	256.05
2015-04-20	TripsPerformed	Dollars	PB1	146.00	146.00
2015-01-05	TripsPerformed	Dollars	MID	278.18	278.18
2015-01-02	TripsPerformed	Dollars	BR3	274.00	274.00
2014-10-27	TripsPerformed	Dollars	SI2	0.00	10.00
2015-10-31	TripsPerformed	Dollars	PVT	0.00	321.00
2015-02-21	TripsPerformed	Dollars	LOG	1220.94	1233.94
2015-03-31	TripsPerformed	Dollars	PVT	425.50	759.35
2015-05-06	TripsPerformed	Dollars	PB1	0.00	146.00
2015-09-11	TripsPerformed	Dollars	CDS	0.00	74.25
2015-01-21	TripsPerformed	Dollars	MID	172.70	172.70
2015-04-09	TripsPerformed	Dollars	CDY	218.00	218.00
2015-08-29	TripsPerformed	Dollars	SR1	0.00	106.00
2015-03-10	TripsPerformed	Dollars	LOG	8795.77	9871.53
2015-05-01	TripsPerformed	Dollars	MID	199.67	199.67
2015-08-23	TripsPerformed	Dollars	LOG	842.75	861.00
2015-03-25	TripsPerformed	Dollars	MP1	0.00	267.00
2015-05-26	TripsPerformed	Dollars	MRC	108.80	108.80
2015-06-27	TripsPerformed	Dollars	SY4	114.00	114.00
2015-06-01	TripsPerformed	Dollars	LOG	9513.54	11043.21
2015-03-06	TripsPerformed	Dollars	ND2	188.00	188.00
2015-04-17	TripsPerformed	Dollars	MID	285.36	285.36
2015-06-19	TripsPerformed	Dollars	SR3	114.00	244.00
2015-11-06	TripsPerformed	Dollars	CDR	0.00	1416.75
2015-05-15	TripsPerformed	Dollars	LOG	8327.96	9457.77
2015-10-06	TripsPerformed	Dollars	SE2	0.00	204.00
2015-03-16	TripsPerformed	Dollars	CDR	118.00	118.00
2015-03-26	TripsPerformed	Dollars	CDS	660.50	660.50
2015-05-20	TripsPerformed	Dollars	MID	440.00	440.00
2015-06-03	TripsPerformed	Dollars	LOG	10373.99	11568.77
2015-08-03	TripsPerformed	Dollars	SE2	204.00	204.00
2014-11-29	TripsPerformed	Dollars	MP1	0.00	53.00
2015-08-04	TripsPerformed	Dollars	TL1	0.00	484.68
2015-09-11	TripsPerformed	Dollars	LOG	9450.50	9665.57
2015-08-05	TripsPerformed	Dollars	BR3	0.00	186.00
2015-03-24	TripsPerformed	Dollars	LOG	10805.34	11647.18
2014-12-31	TripsPerformed	Dollars	LOG	8137.48	8472.37
2015-07-13	TripsPerformed	Dollars	KE3	274.00	274.00
2014-11-18	TripsPerformed	Dollars	KE3	0.00	138.00
2015-02-09	TripsPerformed	Dollars	PVT	329.00	785.70
2015-04-12	TripsPerformed	Dollars	LOG	724.50	828.50
2014-10-11	TripsPerformed	Dollars	LOG	17.00	2304.33
2015-03-18	TripsPerformed	Dollars	SS1	138.00	138.00
2015-06-03	TripsPerformed	Dollars	PVT	224.00	989.00
2015-06-12	TripsPerformed	Dollars	SE2	98.00	98.00
2015-06-19	TripsPerformed	Dollars	WC1	41.00	41.00
2014-10-28	TripsPerformed	Dollars	MR5	302.00	302.00
