measurement_date	name	metric_type	agency	numerator	denominator
2015-10-27	DaysToCash	Count	KE3	150.00	2.00
2015-01-08	DaysToCash	Count	LOG	80330.00	2487.00
2015-05-28	DaysToCash	Count	PVT	205.00	3.00
2015-10-06	DaysToCash	Count	PVT	8101.00	103.00
2015-07-07	DaysToCash	Count	SE2	5516.00	103.00
2015-10-06	DaysToCash	Count	MR4	658.00	2.00
2015-07-09	DaysToCash	Count	NB1	79.00	1.00
2015-03-13	DaysToCash	Count	PB1	288.00	4.00
2015-10-05	DaysToCash	Count	PVT	30.00	1.00
2015-05-05	DaysToCash	Count	SS1	142.00	2.00
2015-09-24	DaysToCash	Count	ND2	78.00	2.00
2015-04-27	DaysToCash	Count	PVT	170.00	3.00
2015-10-22	DaysToCash	Count	PB1	720.00	10.00
2015-11-13	DaysToCash	Count	WC1	84.00	2.00
2015-11-19	DaysToCash	Count	CDS	2572.00	20.00
2015-09-29	DaysToCash	Count	CDR	14714.00	99.00
2015-04-28	DaysToCash	Count	SE2	1090.00	14.00
2015-04-28	DaysToCash	Count	MRC	337.00	3.00
2015-01-26	DaysToCash	Count	PVT	1892.00	37.00
2015-10-21	DaysToCash	Count	PVT	1228.00	31.00
2015-03-26	DaysToCash	Count	PVT	2757.00	27.00
2015-10-21	DaysToCash	Count	HL1	56.00	2.00
2015-03-26	DaysToCash	Count	FAC	254.00	2.00
2015-03-17	DaysToCash	Count	PVT	1568.00	20.00
2015-01-19	DaysToCash	Count	PVT	118.00	2.00
2015-08-11	DaysToCash	Count	HE6	1072.00	12.00
2015-07-20	DaysToCash	Count	PVT	98.00	1.00
2015-11-20	DaysToCash	Count	SR3	232.00	2.00
2015-06-02	DaysToCash	Count	SK2	407.00	5.00
2015-03-03	DaysToCash	Count	FA1	775.00	10.00
2015-10-01	DaysToCash	Count	SR3	2708.00	36.00
2015-02-24	DaysToCash	Count	SR1	248.00	2.00
2015-02-03	DaysToCash	Count	MRC	63.00	1.00
2015-11-06	DaysToCash	Count	PVT	2212.00	19.00
2015-03-30	DaysToCash	Count	LOG	120916.00	4315.00
2015-10-22	DaysToCash	Count	KE3	202.00	2.00
2015-04-03	DaysToCash	Count	PR1	182.00	2.00
2015-10-27	DaysToCash	Count	MID	4095.00	23.00
2015-06-09	DaysToCash	Count	PVT	34.00	2.00
2015-04-29	DaysToCash	Count	SK2	284.00	4.00
2015-02-12	DaysToCash	Count	SE2	3403.00	54.00
2015-11-10	DaysToCash	Count	CDP	2042.00	12.00
2015-02-12	DaysToCash	Count	PR1	89.00	1.00
2015-04-28	DaysToCash	Count	BR3	277.00	3.00
2015-04-28	DaysToCash	Count	QR1	274.00	4.00
2015-09-28	DaysToCash	Count	LOG	102510.00	3998.00
2015-01-12	DaysToCash	Count	BR7	663.00	11.00
2015-04-27	DaysToCash	Count	LOG	129473.00	4820.00
2015-03-19	DaysToCash	Count	MRC	435.00	5.00
2015-03-05	DaysToCash	Count	PR1	108.00	1.00
2015-08-28	DaysToCash	Count	PVT	2059.00	35.00
2015-07-13	DaysToCash	Count	SS1	1276.00	12.00
2015-06-08	DaysToCash	Count	KE3	930.00	12.00
2015-01-05	DaysToCash	Count	PVT	302.00	6.00
2015-10-14	DaysToCash	Count	PVT	718.00	2.00
2015-07-06	DaysToCash	Count	SR3	2522.00	29.00
2015-11-09	DaysToCash	Count	FAC	790.00	2.00
2015-11-02	DaysToCash	Count	PVT	4453.00	71.00
2015-11-18	DaysToCash	Count	WC1	2750.00	18.00
2015-03-12	DaysToCash	Count	PVT	879.00	10.00
2015-09-30	DaysToCash	Count	PVT	944.00	17.00
2015-03-10	DaysToCash	Count	MR5	130.00	1.00
2015-04-28	DaysToCash	Count	SR3	2967.00	39.00
2015-04-03	DaysToCash	Count	SS1	148.00	2.00
2015-06-02	DaysToCash	Count	SR3	3206.00	44.00
2015-09-16	DaysToCash	Count	SR1	312.00	2.00
2015-01-15	DaysToCash	Count	BR3	170.00	2.00
2015-11-11	DaysToCash	Count	FAC	794.00	2.00
2015-11-16	DaysToCash	Count	PVT	1467.00	15.00
2015-07-06	DaysToCash	Count	HE6	1818.00	22.00
2015-09-14	DaysToCash	Count	CDR	21263.00	142.00
2015-02-06	DaysToCash	Count	PVT	355.00	4.00
2015-02-23	DaysToCash	Count	PVT	185.00	2.00
2015-02-03	DaysToCash	Count	BR3	336.00	4.00
2015-11-13	DaysToCash	Count	CDY	812.00	5.00
2015-09-17	DaysToCash	Count	PB1	352.00	4.00
2015-03-03	DaysToCash	Count	PR1	54.00	1.00
2015-01-12	DaysToCash	Count	MRC	80.00	1.00
2015-07-09	DaysToCash	Count	CDR	670.00	5.00
2015-03-13	DaysToCash	Count	PVT	788.00	9.00
2015-05-05	DaysToCash	Count	SY4	334.00	2.00
